object_class,AdapterIntfType,AdapterName,Alias,AttrPos,AttrType,BusinessName,Cardinality,CompSubType,CompTypeVersion,CpOrder,CpPos,DataTypeName,Descript,Description,Direction,DispNameKey,ExecOnHint,ExpTxtNb,ExtDtQualName,ExtVersion,FcoGuid,FcoQualifiedName,FcoQualifiedName2,FcoQualifiedName3,FirstDate,FirstUser,GlobalId,GrpFunc,HasUnparsedIdent,IContextMapRef,IDataMapRef,IDeploySpec,IDisTechRef,IEndMapCp,IExOnLsRef,IExecUnit,IFcoId,IFolder,IMapAttr,IMapComp,IMapCompType,IMapConn,IMapCp,IMapCpRole,IMapExpr,IMapExprRef,IMapProp,IMapPropParent,IMapRef,IMapping,IOwnerMapAttr,IOwnerMapComp,IOwnerMapCp,IOwnerMapExpr,IOwnerMapProp,IOwnerMapping,IParMapAttr,IParMapCp,IPhyNode,IProject,IPropDef,IPropXrefValue,IRefId,IRefMapAttr,IRefMapComp,IRefMapRef,IScBaseMapping,IScId,IScMapping,IScOrigMapping,IScopingMapCp,IStartMapCp,ITechno,IndChange,InstObjNb,IntDtQualName,IntVersion,IsActive,IsCardinal,IsDerivedName,IsHidden,IsParsed,IsRequired,IsReusable,IsValid,JoinColNb,JoinNb,KeyColNb,KeyNb,LastDate,LastUser,Length,LinkDiagNb,MetadataVersion,MorigTxtNb,MtxtNb,Name,OdiVersion,OrigTxtNb,OriginRepositoryID,OtherObjectsNb,ParsedText,ParsedTxt,PlanAgentNb,Prec,PropDefGuid,PropDefQualifiedName,PropOrder,PropType,PropValue,PropValues,QualifiedName,QualifiedName2,QualifiedName3,RefCount,RefGuid,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId,RefText,RepositoryVersion,ScGuid,ScOrigMappingTag,Scale,ScenTxtNb,SortPos,SourceDt,StepNb,Text,TextHash,TextOnly,Txt,TxtNb,TypeName,UeOrigNb,UeUsedNb,ValidationCode,VarPlanAgentNb
SnpMapping,,,,,,null,,,,,,,null,null,,,,,,null,,,,,2026-06-16 20:37:17.0,ENDER,fa4adfd8-3d3b-402f-9728-c31209f76e0c,,,null,,,,,,,,4111,,,,,,,,,,,,33424,,,,,,,,,,null,,,,,,,null,,null,null,,,,I,,,1,,,,,,,N,,,,,,2026-06-16 20:37:17.0,ENDER,,,12,,,Test_3,,,,,,,,,,,,,,null,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,564063c3-7020-4b9b-be8e-0f9771e4881d,,,,,,,,,,8583,,,,,,,,,,,,1828820,,,,,,,33424,,,,,,,169332,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,Pmt_Meth_Type_Nm,null,null,1,8f0953e2-76cd-49d4-a611-72b0368ccd71,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapRef,IDataStore,ODI,,,,null,,,,,,,,null,,,,,,,null,null,null,null,null,null,e658b581-62c1-41b5-a73b-1615dd746cd2,,,,,,,,,,null,,,,,,,,,,,,1828814,,,,,,,33424,,,,,,,8583,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,COPY_OF_EDW_SEM.D_PMT_METH_TYPE,null,null,4,11ebabad-5212-43df-9a41-43c6a405c40f,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapComp,,,null,,,null,,,null,,,,null,null,,,,,,,,,,,,,744c06a7-5a31-491b-a570-31de406f7064,,,,,,,,,,,,,191370,1,,,,,,,,1828814,,,null,,,,33424,,,,,,,,,,,,,,,,,null,,,,,,0,1,0,,,,,,,,,,,,,,,,D_PMT_METH_TYPE,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,2,,,,,,,,DATASTORE,,,,
SnpMapCp,,,,,,null,M,null,,1,null,,null,null,O,,,,,,,,,,,,72968760-2cf5-4b7a-b905-1e843850cadb,,,,,,,,,,,,,,,,404959,2,,,,,null,,,191370,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,null,null,null,,,,,null,,,,,,null,null,d56af716-c985-435f-81fe-66d430572180,AUTO,,,1828819,,,,,,,,1403552,,,,,,,,,,1828820,,,,404959,,,,null,,,,,,,,,,,,,,,,,null,,null,null,,,1,,,0,,,,,,,null,null,100,,,,,Pmt_Meth_Type_Nm,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,null,,3,null,,,,,,,,,,,
SnpMapCp,,,,,,null,M,null,,1,null,,null,null,I,,,,,,,,,,,,d30d3df7-3944-4c11-ba23-45b769676430,,,,,,,,,,,,,,,,404958,1,,,,,null,,,191370,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,0416c0ba-87ef-4085-845f-0d3d9c31a222,,null,,,,null,,null,,,,,,,,404958,,982208,,,,,,1403552,,,,null,,,,,,,,,,,,,,,,,,,null,,,null,null,,,,1,,,,,,,,null,null,,,,,,,,,,,null,@{R0},,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,1383696546,0,PMT_METH_TYPE.Pmt_Meth_Type_Nm,,,,,null,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,92abde7f-3866-40f8-907d-ef77a97c9e85,,,,,,,,,,9418,,,,,,,,,,,,1828818,,,,,,,33424,,,,,,,180829,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,Pmt_Meth_Type_Nm,null,null,1,0a9ebcc7-caf6-4aed-b78f-211c2b6903fe,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapRef,IDataStore,ODI,,,,null,,,,,,,,null,,,,,,,null,null,null,null,null,null,7b7ef6fd-b3a7-4134-b27c-01743f02039d,,,,,,,,,,null,,,,,,,,,,,,1828813,,,,,,,33424,,,,,,,9418,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,COPY_OF_EDW_VODACOM.PMT_METH_TYPE,null,null,5,8387f7b7-54ac-4c99-9a71-b53ace96e599,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapComp,,,null,,,null,,,null,,,,null,null,,,,,,,,,,,,,99bc84dc-169d-4554-9cf4-caf92c9330f6,,,,,,,,,,,,,191368,1,,,,,,,,1828813,,,null,,,,33424,,,,,,,,,,,,,,,,,null,,,,,,0,1,0,,,,,,,,,,,,,,,,PMT_METH_TYPE,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,0,,,,,,,,DATASTORE,,,,
SnpMapCp,,,,,,null,M,null,,1,null,,null,null,O,,,,,,,,,,,,da192690-bfc0-4931-ada0-344b7e2b083e,,,,,,,,,,,,,,,,404955,2,,,,,null,,,191368,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,null,null,null,,,,,null,,,,,,null,null,a4f55ba2-d632-4c87-9808-e9fabc3afc6c,AUTO,,,1828819,,,,,,,,1403548,,,,,,,,,,1828818,,,,404955,,,,null,,,,,,,,,,,,,,,,,null,,null,null,,,1,,,0,,,,,,,null,null,100,,,,,Pmt_Meth_Type_Nm,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,0,,2,null,,,,,,,,,,,
SnpMapExprRef,,,,,,,,,,,,,,,,,,,,,,,,,,,fe0c5d45-c9c8-4619-849d-aaebd8fd5195,,,,,,,,,,,,,,,,,,,977490,,,,,,,,982208,,,,,,,,,,1403548,null,null,,,,,404958,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R0,,,,,PMT_METH_TYPE.Pmt_Meth_Type_Nm,,,,,,,,,,,,,,,,,,
SnpMapRef,IDataType,ODI,,,,null,,,,,,,,null,,,,,,,null,null,null,null,null,null,f59120ba-0d2f-4caf-8dfb-7e130f73661c,,,,,,,,,,null,,,,,,,,,,,,1828824,,,,,,,33424,,,,,,,301,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,TERADATA.TIMESTAMP,null,null,1,e14b0421-fe9a-3844-9b52-64d96a1ed0de,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,4e3fe6b8-8bc4-4e71-aac0-95302279b367,,,,,,,,,,9418,,,,,,,,,,,,1828823,,,,,,,33424,,,,,,,180832,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,Prcss_Clsd_Dttm,null,null,1,4fa524ef-3e35-4b39-bc55-fe288d0e1cf0,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,null,null,null,,,,,null,,,,,,null,null,0e605c97-2de9-458d-91e7-712cdb62ab33,AUTO,,,1828824,,,,,,,,1403550,,,,,,,,,,1828823,,,,404955,,,,null,,,,,,,,,,,,,,,,,null,,null,null,,,1,,,0,,,,,,,null,null,26,,,,,Prcss_Clsd_Dttm,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,0,,5,null,,,,,,,,,,,
SnpMapComp,,,null,,,null,,,null,,,,null,null,,,,,,,,,,,,,940cecf1-a48c-49eb-ac52-dbc0c38e6d7c,,,,,,,,,,,,,191369,2,,,,,,,,null,,,null,,,,33424,,,,,,,,,,,,,,,,,null,,,,,,0,0,0,,,,,,,,,,,,,,,,FILTER,,,,,,,,,,,,,,null,,,,,,,,,,,,,,,,,1,,,,,,,,FILTER,,,,
SnpMapCp,,,,,,null,M,null,,1,null,,null,null,I,,,,,,,,,,,,169fedbb-4c60-4ff2-85c1-8e68de9cc989,,,,,,,,,,,,,,,,404956,3,,,,,null,,,191369,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapProp,,,,,,null,,,,,,,null,null,,null,,,,,,,,,,,54267f2e-e37d-4638-bea3-f7eb8870796c,,,,,null,,,,null,,,null,191369,,,null,,,,2375560,null,,null,,,,,,33424,,,null,,36,null,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,FILTER_CONDITION,,,,,,,,,null,null,-1,E,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,7fcc6ab3-cd9d-4fb6-8199-7cc872977300,,null,,,,null,,null,,,,,,,,null,,982212,,,,,,null,,,,2375560,,,,,,,,,,,,,,,,,,,null,,,null,null,,,,1,,,,,,,,null,null,,,,,,,,,,,null,"@{R0} = CAST('2050-12-31 23:59:59' AS TIMESTAMP(0) FORMAT 'YYYY-MM-DDbHH:MI:SS')
AND @{R1} <> 'NA'",,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,-1928667410,0,"PMT_METH_TYPE.Prcss_Clsd_Dttm = CAST('2050-12-31 23:59:59' AS TIMESTAMP(0) FORMAT 'YYYY-MM-DDbHH:MI:SS')
AND PMT_METH_TYPE.Pmt_Meth_Type_Cd <> 'NA'",,,,,null,
SnpMapExprRef,,,,,,,,,,,,,,,,,,,,,,,,,,,ec775421-4c24-4449-8b62-7a26b9390dd5,,,,,,,,,,,,,,,,,,,977492,,,,,,,,982212,,,,,,,,,,1403550,null,null,,,,,404956,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R0,,,,,PMT_METH_TYPE.Prcss_Clsd_Dttm,,,,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,59927b2e-23ee-42e3-a68b-947bac73df1d,,,,,,,,,,8583,,,,,,,,,,,,1828822,,,,,,,33424,,,,,,,169333,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,Pmt_Meth_Type_Desc,null,null,1,883984c7-e06a-4291-908e-f38d3e7f4151,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,null,null,null,,,,,null,,,,,,null,null,c189c8b6-024d-46e8-b54f-325abf23206e,AUTO,,,1828819,,,,,,,,1403553,,,,,,,,,,1828822,,,,404959,,,,null,,,,,,,,,,,,,,,,,null,,null,null,,,1,,,0,,,,,,,null,null,250,,,,,Pmt_Meth_Type_Desc,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,null,,4,null,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,d64f10b7-f858-4259-b913-60883bc1ae66,,null,,,,null,,null,,,,,,,,404958,,982209,,,,,,1403553,,,,null,,,,,,,,,,,,,,,,,,,null,,,null,null,,,,1,,,,,,,,null,null,,,,,,,,,,,null,@{R0},,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,-1707782988,0,PMT_METH_TYPE.Pmt_Meth_Type_Desc,,,,,null,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,85ea0615-1c9a-47ed-b86b-71b48cfca05d,,,,,,,,,,9418,,,,,,,,,,,,1828821,,,,,,,33424,,,,,,,180830,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,Pmt_Meth_Type_Desc,null,null,1,c5f882e6-89c1-4da7-af41-396945c12cfc,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,null,null,null,,,,,null,,,,,,null,null,3cc32c59-8124-4e4a-ae5f-b44af45ff3c1,AUTO,,,1828819,,,,,,,,1403549,,,,,,,,,,1828821,,,,404955,,,,null,,,,,,,,,,,,,,,,,null,,null,null,,,1,,,0,,,,,,,null,null,250,,,,,Pmt_Meth_Type_Desc,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,0,,3,null,,,,,,,,,,,
SnpMapExprRef,,,,,,,,,,,,,,,,,,,,,,,,,,,9f901dfb-df5b-40c5-badb-5a581c9ac5f8,,,,,,,,,,,,,,,,,,,977491,,,,,,,,982209,,,,,,,,,,1403549,null,null,,,,,404958,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R0,,,,,PMT_METH_TYPE.Pmt_Meth_Type_Desc,,,,,,,,,,,,,,,,,,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,7c5d826e-44a7-4cfa-96a7-b48f1d699aa9,,,,,,,,,,8583,,,,,,,,,,,,1828817,,,,,,,33424,,,,,,,169331,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,Pmt_Meth_Type_Cd,null,null,1,a1c68c79-4004-4777-93a9-03a03693afb7,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,null,null,null,,,,,null,,,,,,null,null,8af72fef-4994-4f75-a2ae-d96aca6ce673,AUTO,,,1828816,,,,,,,,1403551,,,,,,,,,,1828817,,,,404959,,,,null,,,,,,,,,,,,,,,,,null,,null,null,,,1,,,1,,,,,,,null,null,20,,,,,Pmt_Meth_Type_Cd,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,null,,2,null,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,8f6191de-f677-45ab-98b0-e1b8386b7bcb,,null,,,,null,,null,,,,,,,,404958,,982207,,,,,,1403551,,,,null,,,,,,,,,,,,,,,,,,,null,,,null,null,,,,1,,,,,,,,null,null,,,,,,,,,,,null,@{R0},,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,1383696196,0,PMT_METH_TYPE.Pmt_Meth_Type_Cd,,,,,null,
SnpMapRef,IColumn,ODI,,,,null,,,,,,,,null,,,,,,,null,IDataStore,null,null,null,null,e7b08aef-3146-4e46-b482-1abd14ff00ca,,,,,,,,,,9418,,,,,,,,,,,,1828815,,,,,,,33424,,,,,,,180828,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,Pmt_Meth_Type_Cd,null,null,1,76e332bd-0772-4007-b269-53e01d97f9c3,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapAttr,,,null,null,P,null,,,,,,null,null,null,,,,,null,,,,,,null,null,7984d970-dcd7-4bfb-8970-b5975dbd8b29,AUTO,,,1828816,,,,,,,,1403547,,,,,,,,,,1828815,,,,404955,,,,null,,,,,,,,,,,,,,,,,null,,null,null,,,1,,,1,,,,,,,null,null,20,,,,,Pmt_Meth_Type_Cd,,,,,,,,null,,,,,,null,,,,,,,,,,,,,,,0,,1,null,,,,,,,,,,,
SnpMapExprRef,,,,,,,,,,,,,,,,,,,,,,,,,,,8b112c9f-061d-4ee8-8423-cea77b3209f2,,,,,,,,,,,,,,,,,,,977489,,,,,,,,982207,,,,,,,,,,1403547,null,null,,,,,404958,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R0,,,,,PMT_METH_TYPE.Pmt_Meth_Type_Cd,,,,,,,,,,,,,,,,,,
SnpMapRef,IDataType,ODI,,,,null,,,,,,,,null,,,,,,,null,null,null,null,null,null,2906a6b8-ff22-496d-b3f0-0efa303d0003,,,,,,,,,,null,,,,,,,,,,,,1828819,,,,,,,33424,,,,,,,678,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,TERADATA.VARCHAR,null,null,4,ce91f01b-1028-3055-a164-aebdcf008277,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapConn,,,,,,null,,,,,,,null,null,,,,,,,,,,,,,6e2ac5ff-c15e-43ee-8dda-61a1bad764e0,,,,,,,404956,,,,,,,,142060,,,,,,,,,,,,,,33424,,,,,,,,,,,,,,,,404955,,,,,,,,,0,,,,,,,,,,,,,,,,PMT_METH_TYPE.OUTPUT1_TO_FILTER.INPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapExprRef,,,,,,,,,,,,,,,,,,,,,,,,,,,c4b364fe-f922-432f-9cea-f020f55551d2,,,,,,,,,,,,,,,,,,,977493,,,,,,,,982212,,,,,,,,,,1403547,null,null,,,,,404956,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,PMT_METH_TYPE.Pmt_Meth_Type_Cd,,,,,,,,,,,,,,,,,,
SnpMapCp,,,,,,null,M,null,,1,null,,null,null,I,,,,,,,,,,,,1561c033-4e38-4735-8260-9e798925669d,,,,,,,,,,,,,,,,404954,1,,,,,null,,,191368,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapRef,IDataType,ODI,,,,null,,,,,,,,null,,,,,,,null,null,null,null,null,null,5e33b58d-698f-47ab-afb3-a66428587329,,,,,,,,,,null,,,,,,,,,,,,1828816,,,,,,,33424,,,,,,,677,,,,,null,,,,,,null,,,null,,,,,,,,,,,,,null,null,,,,,,null,,,,,,,,,,,,,,,TERADATA.CHAR,null,null,2,b428d44f-8fd1-3aa9-93b4-686dd936032b,,,,,,,,null,,,,,,,,,,,,,,,,
SnpMapCp,,,,,,null,M,null,,1,null,,null,null,O,,,,,,,,,,,,2728cbab-cdb7-447d-8bc5-475f38718292,,,,,,,,,,,,,,,,404957,4,,,,,null,,,191369,,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTPUT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
